	source	interaction	target
560	GNRHR	1	GNAQ
561	AKT1	1	ESR1
562	AKT1	0	TSC1_TSC2
563	AKT1	1	CHUK_IKBKB_IKBKG
564	AKT2	1	ESR1
565	AKT2	-1	GSK3B
566	AKT2	0	BAD
567	AKT2	0	TSC1_TSC2
568	AKT2	1	CHUK_IKBKB_IKBKG
569	PPP1CC	0	EIF2S1
570	FLT3	1	STAT5A
571	FLT3	1	GRB2
572	CDKN1A	-1	CCNE2_CDK2
573	CDKN1A	-1	CCNB1_CDK1
574	MAPK9	0	JUN
575	MAP2K4	1	MAPK14
576	CDKN1B	-1	CCNE2_CDK2
577	PPP3CC	1	NFATC1
578	GNAQ	1	ARHGEF12
579	MAP2K6	1	MAPK9
580	MAP2K6	1	MAPK10
581	MAPK12	1	ATF2
582	GRB2	1	SOS2
583	RAC1	1	MAPK9
584	RAC1	1	ABI1_BRK1_CYFIP1_NCKAP1_WASF2
585	GNAI1	-1	ADCY1
586	JAG1	0	NOTCH3
587	CDK6	0	RB1
588	SOS2	1	HRAS
589	PPP3CA	1	NFATC1
590	PPP3CA	1	NFATC2
591	PPP3CA	1	NFATC4
592	PAK1	1	ARAF
593	DNAJC3	-1	EIF2AK2
594	ATM	1	CHEK1
595	ROCK1	1	MYL12B
596	ROCK1	1	MYL9
597	ATR	1	CHEK2
598	DOCK1	1	RAC1
599	GNA13	1	ARHGEF12
600	NBR1	1	MAP1LC3A
601	ERBB4	1	PIK3CD
602	ERBB4	1	PIK3CA
603	ERBB4	1	PIK3CB
604	FYN	1	PIK3CA
605	PFN1	1	ACTB
606	LYN	1	PIK3CA
607	SYK	1	PIK3CA
608	CRK	1	DOCK1
609	RAC1	0	RHOA
610	VAV2	1	PLCG1
611	EZR	1	RHOA
612	VAV3	1	PLCG1
613	PRNP	1	CAV1
614	C3	1	CR2
615	CCL16	1	CCR1
616	CXCL13	1	CXCR3
617	DLL3	1	NOTCH3
618	DLL3	1	NOTCH4
619	DLL4	1	NOTCH2
620	DLL4	1	NOTCH3
621	IL10	1	IL10RA_IL10RB
622	IL18	1	IL18R1_IL18RAP
623	IL19	1	IL20RA_IL20RB
624	IL1A	1	IL1R1_IL1RAP
625	IL1B	1	IL1R1_IL1RAP
626	IL2	1	IL2RA_IL2RB_IL2RG
627	IL20	1	IL20RA_IL20RB
628	IL20	1	IL20RB_IL22RA1
629	IL24	1	IL20RA_IL20RB
630	IL24	1	IL20RB_IL22RA1
631	IL6	1	IL6R_IL6ST
632	PF4	1	CXCR3
633	TGFB1	1	TGFBR1_TGFBR2
634	TGFB2	1	TGFBR1_TGFBR2
635	TGFB3	1	TGFBR1_TGFBR2
636	C3	1	CR1
637	JAG1	0	NOTCH4
638	PCSK9	0	LDLR
639	GNAI2	-1	ADCY7
640	JAG2	0	NOTCH4
641	DLL1	1	NOTCH4
642	CRHR1	1	GNAS
643	GNAS	1	ADCY7
644	PDGFA	1	PDGFRB
645	GNAS	1	ADCY8
646	GNAI2	-1	ADCY8
647	GNAS	1	ADCY9
648	GNAI2	-1	ADCY9
649	LHCGR	1	GNAS
650	CXCL5	1	CXCR1
651	CXCL1	1	CXCR1
652	CCL4	1	CCR8
653	CCL5	1	CCR4
654	CCL3	1	CCR4
655	CCL3	1	CCR3
656	CCL4	1	CCR3
657	EGF	1	EGFR_ERBB2
658	CCL27	1	CCR2
659	CCL27	1	CCR3
660	IL37	1	IL18R1_IL18RAP
661	C3	1	ITGAM_ITGB2
