	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	JURKAT	MCF7	PC3	SHSY5Y	SW480	VCAP
164	KDA005_HT29_96H:TRCN0000312623:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
165	KDA005_HT29_96H:TRCN0000330669:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
166	KDA005_HT29_96H:TRCN0000344491:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
167	KDA005_MCF7_144H:TRCN0000039797:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
168	KDA005_MCF7_96H:TRCN0000004265:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
169	KDA005_MCF7_96H:TRCN0000029788:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
170	KDA005_MCF7_96H:TRCN0000057564:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
171	KDA005_MCF7_96H:TRCN0000327686:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
172	KDA005_PC3_144H:TRCN0000029784:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
173	KDA005_PC3_144H:TRCN0000308110:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
174	KDA005_PC3_96H:TRCN0000004265:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
175	KDA005_PC3_96H:TRCN0000007237:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
176	KDA005_PC3_96H:TRCN0000051092:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
177	KDA005_PC3_96H:TRCN0000312623:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
178	KDA005_VCAP_120H:TRCN0000007235:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
179	KDA005_VCAP_120H:TRCN0000007307:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
180	KDA005_VCAP_120H:TRCN0000029354:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
181	KDA006_A375_96H:TRCN0000004866:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
182	KDA006_A375_96H:TRCN0000029517:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
183	KDA006_A375_96H:TRCN0000199983:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
184	KDA006_A375_96H:TRCN0000294474:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
185	KDA006_A375_96H:TRCN0000295864:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
186	KDA006_A375_96H:TRCN0000320546:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
187	KDA006_A375_96H:TRCN0000372724:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
188	KDA006_A549_96H:TRCN0000004866:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
