	source	interaction	target
3351	ALK	1	SHC3
3352	ALK	1	SHC1
3353	ANGPT4	1	TIE1
3354	ANGPTL1	1	TEK
3355	TEK	1	DOK2
3356	TEK	1	GRB7
3357	TEK	1	GRB14
3358	WNT5A	1	ROR1
3359	DDR1	1	SHC1
3360	DDR2	1	SHC1
3361	SRC	1	DDR2
3362	DDR2	1	SRC
3363	PTPN6	1	ROS1
3364	WNT1	1	RYK
3365	AATK	1	CDK5R1
3366	CDK5	1	LMTK2
3367	LMTK2	1	PPP1CA
3368	AXL	1	TNS2
3369	AXL	1	SOCS1
3370	MERTK	1	VAV1
3371	RET	1	GRB10
3372	RET	1	STAT3
3373	RET	1	DOK4
3374	RET	1	DOK5
3375	RET	1	GFRA1
3376	RET	1	FRS2
3377	RB1	1	ABL1
3378	ABL1	1	NEDD9
3379	NEDD9	1	ABL1
3380	ABL1	1	GRAP
3381	ABL1	1	VAV1
3382	RYBP	1	ABL1
3383	RFX1	1	ABL1
3384	DAB2	1	CSK
3385	IGF1R	1	CSK
3386	CREBBP	1	CSK
3387	PAG1	1	CSK
3388	MATK	1	KIT
3389	KHDRBS1	-1	PTK6
3390	PTK6	1	KHDRBS1
3391	LCK	1	PTPN6
3392	PTPN6	1	LCK
3393	LCK	1	ZAP70
3394	LCK	1	NOTCH1
3395	LCP2	1	PLCG1
3396	PLCG1	1	RHOA
3397	RHOA	1	PLCG1
3398	ITK	1	PLCG1
3399	GIT1	1	PLCG1
3400	GAB1	1	PLCG1
3401	GRAP	1	PLCG1
3402	ERBB2	1	PLCG1
3403	EEF1A1	1	PLCG1
3404	EGFR	1	NCK1
3405	NCK1	1	WASL
3406	SOCS3	1	RASA1
3407	SRC	1	RASA1
3408	RASA1	1	SRC
3409	LCK	1	RASA1
3410	RASA1	1	CAV2
3411	HRAS	1	RASA1
3412	RASA1	1	HRAS
3413	EGFR	1	GRB14
3414	YWHAQ	1	MEF2D
3415	YWHAB	1	PRKCZ
3416	PRKCZ	-1	YWHAB
3417	YWHAQ	1	PRKD1
3418	FRS2	1	GRAP
3419	PTPN11	1	FRS2
3420	FRS2	1	PTPN11
3421	CBL	-1	FRS2
3422	FRS2	1	CBL
3423	ARHGAP32	1	CDC42
3424	ARHGAP32	1	CRKL
3425	ARHGAP32	1	CRK
3426	CRK	1	ARHGAP32
3427	GAB1	1	ARHGAP32
3428	GAB2	1	ARHGAP32
3429	ARHGAP32	1	RAC1
3430	ARHGAP32	1	RHOA
3431	ARHGAP32	1	SRC
3432	SRC	1	ARHGAP32
3433	EGFR	1	NCK2
3434	PDGFRB	1	NCK2
3435	NTRK2	1	NCK2
3436	INSR	1	GRB7
3437	RET	1	GRB7
3438	GRB7	1	RND1
3439	ITSN1	1	CDC42
3440	RAP1GAP	1	RAP1B
3441	RAP1B	1	BRAF
3442	STK39	1	MAPK14
3443	VAV1	1	PRKCQ
3444	VAV1	1	MAPK1
3445	MAPK1	1	VAV1
3446	IL1R1	1	PIK3R1
3447	EPOR	1	PIK3R1
3448	INSR	1	DOK4
3449	DOK4	1	CRK
3450	DOK4	1	SRC
3451	DOK4	1	FYN
3452	INSR	1	DOK5
3453	RET	1	DOK1
3454	PTPN11	1	GAB2
3455	GAB2	1	PTPN11
3456	IL6ST	1	GAB2
