	sig_id	HT29	MCF7	SW480	A549	HA1E	HEKTE	PC3	SHSY5Y	HEPG2	JURKAT	A375	HCC515	VCAP
159	KDA004_MCF7_96H:TRCN0000003301:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
160	KDA004_MCF7_96H:TRCN0000050746:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
161	KDA004_PC3_96H:TRCN0000002780:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
162	KDA005_A549_96H:TRCN0000016644:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
163	KDA005_A549_96H:TRCN0000039797:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
164	KDA005_A549_96H:TRCN0000040011:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
165	KDA005_A549_96H:TRCN0000280771:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
166	KDA005_A549_96H:TRCN0000312623:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
167	KDA005_A549_96H:TRCN0000318689:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
168	KDA005_A549_96H:TRCN0000359320:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
169	KDA005_HA1E_96H:TRCN0000039796:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
170	KDA005_HA1E_96H:TRCN0000083416:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
171	KDA005_HA1E_96H:TRCN0000194896:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
172	KDA005_HA1E_96H:TRCN0000338343:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
173	KDA005_HT29_96H:TRCN0000007304:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
174	KDA005_HT29_96H:TRCN0000073720:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
175	KDA005_HT29_96H:TRCN0000312623:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
176	KDA005_HT29_96H:TRCN0000330669:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
177	KDA005_HT29_96H:TRCN0000344491:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
178	KDA005_MCF7_144H:TRCN0000039797:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
179	KDA005_MCF7_144H:TRCN0000062272:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
180	KDA005_MCF7_144H:TRCN0000314667:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
181	KDA005_MCF7_96H:TRCN0000001525:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
182	KDA005_MCF7_96H:TRCN0000004265:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
183	KDA005_MCF7_96H:TRCN0000006255:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
184	KDA005_MCF7_96H:TRCN0000010209:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
185	KDA005_MCF7_96H:TRCN0000016644:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
186	KDA005_MCF7_96H:TRCN0000019898:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
187	KDA005_MCF7_96H:TRCN0000073718:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
188	KDA005_MCF7_96H:TRCN0000280098:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
189	KDA005_MCF7_96H:TRCN0000327686:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
190	KDA005_PC3_144H:TRCN0000314547:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
191	KDA005_PC3_144H:TRCN0000314667:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
192	KDA005_PC3_96H:TRCN0000004265:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
193	KDA005_PC3_96H:TRCN0000006258:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
194	KDA005_PC3_96H:TRCN0000051092:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
195	KDA005_PC3_96H:TRCN0000154656:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
196	KDA005_PC3_96H:TRCN0000196420:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
197	KDA005_VCAP_120H:TRCN0000007235:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
198	KDA005_VCAP_120H:TRCN0000029354:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
199	KDA005_VCAP_120H:TRCN0000039833:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
200	KDA005_VCAP_120H:TRCN0000318689:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
201	KDA006_A375_96H:TRCN0000004866:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
202	KDA006_A375_96H:TRCN0000010562:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
203	KDA006_A375_96H:TRCN0000010643:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
204	KDA006_A375_96H:TRCN0000015548:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
205	KDA006_A375_96H:TRCN0000029517:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
206	KDA006_A375_96H:TRCN0000231509:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
207	KDA006_A375_96H:TRCN0000273171:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
208	KDA006_A375_96H:TRCN0000288701:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
209	KDA006_A375_96H:TRCN0000294474:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
210	KDA006_A375_96H:TRCN0000295864:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
211	KDA006_A375_96H:TRCN0000320546:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
212	KDA006_A375_96H:TRCN0000372724:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
213	KDA006_A549_96H:TRCN0000011012:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
214	KDA006_A549_96H:TRCN0000018913:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
215	KDA006_HA1E_96H:TRCN0000003562:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
216	KDA006_HA1E_96H:TRCN0000195112:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
217	KDA006_HA1E_96H:TRCN0000196401:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
218	KDA006_HA1E_96H:TRCN0000342231:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
219	KDA006_HEPG2_96H:TRCN0000003560:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
220	KDA006_HEPG2_96H:TRCN0000010037:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
221	KDA006_HEPG2_96H:TRCN0000231101:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
222	KDA006_HEPG2_96H:TRCN0000274180:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
223	KDA006_HEPG2_96H:TRCN0000287021:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
224	KDA006_HEPG2_96H:TRCN0000289027:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
225	KDA006_HT29_96H:TRCN0000000898:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
226	KDA006_HT29_96H:TRCN0000001224:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
227	KDA006_HT29_96H:TRCN0000004868:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
228	KDA006_HT29_96H:TRCN0000083993:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
229	KDA006_HT29_96H:TRCN0000197017:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
230	KDA006_HT29_96H:TRCN0000231101:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
231	KDA006_HT29_96H:TRCN0000274230:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
232	KDA006_MCF7_144H:TRCN0000072588:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
233	KDA006_MCF7_144H:TRCN0000231101:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
234	KDA006_MCF7_144H:TRCN0000274230:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
235	KDA006_MCF7_96H:TRCN0000018913:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
236	KDA006_PC3_144H:TRCN0000003560:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
237	KDA006_PC3_144H:TRCN0000029517:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
238	KDA006_PC3_144H:TRCN0000050958:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
239	KDA006_PC3_144H:TRCN0000231101:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
240	KDA006_PC3_144H:TRCN0000358806:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
241	KDA006_PC3_96H:TRCN0000008337:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
242	KDA006_PC3_96H:TRCN0000018913:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
243	KDA006_PC3_96H:TRCN0000194922:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
244	KDA006_PC3_96H:TRCN0000273985:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
245	KDA006_PC3_96H:TRCN0000288700:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
246	KDA006_PC3_96H:TRCN0000289027:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
247	KDA006_PC3_96H:TRCN0000290470:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
248	KDA006_VCAP_120H:TRCN0000278333:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
249	KDA007_A549_96H:TRCN0000002859:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
250	KDA007_A549_96H:TRCN0000014758:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
251	KDA007_A549_96H:TRCN0000033506:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
252	KDA007_A549_96H:TRCN0000053612:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
253	KDA007_A549_96H:TRCN0000058164:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
254	KDA007_A549_96H:TRCN0000194823:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
255	KDA007_A549_96H:TRCN0000342340:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
256	KDA007_HA1E_96H:TRCN0000002856:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
257	KDA007_HA1E_96H:TRCN0000196853:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
258	KDA007_HA1E_96H:TRCN0000274152:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
259	KDA007_HA1E_96H:TRCN0000286656:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
260	KDA007_HA1E_96H:TRCN0000320582:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
261	KDA007_HA1E_96H:TRCN0000338202:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
262	KDA007_HA1E_96H:TRCN0000352673:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
263	KDA007_HEPG2_96H:TRCN0000230497:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
