	source	interaction	target
538	AURKA	1	PLK1
539	TTK	1	CDCA8
540	PLK1	1	BUB1B
541	NEK2	1	NDC80
542	PTPN2	-1	STAT3
543	PTPN2	1	STAT1
544	PTPN2	-1	KDR
545	NOS1	1	HDAC2
546	DUSP1	1	MAPK14
547	MAPK14	1	DUSP1
548	MAPK14	1	FOS
549	MAPK14	-1	EGFR
550	MAPK14	1	USF1
551	SIRT1	-1	TP53
552	CDK1	1	CSNK2A1
553	CSNK2A1	1	CDK1
554	SRC	1	STAT3
555	CTNNBIP1	-1	CTNNB1
556	PTTG1	-1	ESPL1
557	JAK1	1	STAT5B
558	JAK1	1	STAT5A
559	AKT1	1	TERT
560	HIPK2	1	PML
561	RNF168	1	H2AX
562	ATM	1	TERF1
563	CDKN2C	1	CDK6
564	RAD17	1	ATM
565	ATM	1	RAD17
566	CDKN2C	-1	CDK4
567	ATR	1	TP53
568	MDM2	-1	TP53
569	NBN	1	ATM
570	ATM	1	NBN
571	TP53	1	BAX
572	BRCA1	1	ATM
573	ATM	1	BRCA1
574	ATM	1	TP53
575	CHEK1	-1	CDC25C
576	CHEK2	-1	CDC25C
577	ATM	1	RAD9A
578	BRCA1	1	RBBP8
579	RBBP8	1	BRCA1
580	ATM	1	CHEK2
581	ATM	1	RBBP8
582	GSK3B	-1	HSF1
583	GSK3B	1	CREB1
584	GSK3B	1	DPYSL2
585	GSK3B	1	MAPT
586	CDK5	1	MAPT
587	RELA	1	CREBBP
588	CREBBP	1	RELA
589	PPP1R1B	-1	PPP1CA
590	ABL1	1	RAD51
591	CDK2	-1	ZBTB16
592	CDK5	1	ATM
593	CDK5	-1	CDK5R1
594	CDK5R1	1	CDK5
595	CDKN2A	1	CDK6
596	AKT1	1	NUAK1
597	NPM1	1	CDKN2A
598	BAZ1B	1	H2AX
599	ATR	1	FANCA
600	CDK2	-1	LIG3
601	PAK2	1	ABL1
602	CYCS	1	APAF1
603	ABL1	1	PSMA7
604	ABL1	1	PRKD1
605	ABL1	1	PLSCR1
606	ABL1	1	PDGFRB
607	GNRHR	1	GNAS
608	GNRHR	1	GNA11
609	GNRHR	1	GNAI1
610	ABL1	1	NCOA3
611	GNA11	1	PLCB2
612	ABL1	1	MUC1
613	ABL1	1	NCK1
614	NCK1	1	ABL1
615	ABL1	1	JAK2
616	ABL1	1	MDM2
617	ABL1	1	ESR1
618	ABL1	1	RACK1
619	ABL1	1	GPX1
620	ABL2	1	GPX1
621	ABL1	1	EGFR
622	ABL1	-1	DDB2
623	AURKB	1	INCENP
624	INCENP	1	AURKB
625	AURKA	1	TPX2
626	AURKA	1	MAP9
627	PRKCD	1	ELAVL1
628	ABL1	1	CD19
629	CBL	1	ABL1
630	PGR	1	ESR1
631	ABL2	1	CAT
632	SRC	1	HNRNPK
633	STK4	1	FOXO3
634	AURKB	-1	BIRC5
635	NEK2	1	CEP250
636	AURKB	1	RACGAP1
637	AURKB	-1	VIM
638	NEK2	1	NEK11
639	AURKB	1	KIF2C
640	AURKB	1	DES
641	ABL1	1	WASF3
642	ABL2	1	SIVA1
643	ATM	1	EXO1
644	RIN1	1	ABL2
645	ABL1	1	ROBO1
646	ABL1	1	RAPH1
647	ABL1	1	RAD9A
648	ABL1	1	RAPGEF1
649	ABL1	1	PTPN6
650	PTPN6	1	ABL1
651	PSTPIP1	1	ABL1
652	ABL1	1	PSTPIP1
653	CCNE1	1	CDK2
654	CDK2	-1	CCNE1
655	GSK3B	-1	CCNE1
656	PKMYT1	-1	CDK1
657	EGFR	1	STAT5A
658	EGFR	1	STAT3
659	ERBB4	1	STAT5A
660	EGFR	1	PCNA
661	ERBB2	-1	CDK1
662	TRIM25	1	DDX58
663	TGFBR1	1	SMAD3
664	TGFBR1	1	SMAD2
665	AKT1	1	SMAD3
666	LATS1	1	YAP1
667	STK3	1	LATS2
668	RASSF1	1	STK3
