	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	JURKAT	MCF7	PC3	SHSY5Y	SW480	VCAP
138	KDA001_HA1E_96H:TRCN0000003755:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
139	KDA001_HA1E_96H:TRCN0000005986:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
140	KDA001_HA1E_96H:TRCN0000005996:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
141	KDA001_HA1E_96H:TRCN0000006044:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
142	KDA001_HA1E_96H:TRCN0000013567:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
143	KDA001_HA1E_96H:TRCN0000013575:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
144	KDA001_HA1E_96H:TRCN0000013805:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
145	KDA001_HA1E_96H:TRCN0000014684:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
146	KDA001_HA1E_96H:TRCN0000019384:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
147	KDA001_HA1E_96H:TRCN0000039633:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
148	KDA001_HA1E_96H:TRCN0000039942:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
149	KDA001_HA1E_96H:TRCN0000040038:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
150	KDA001_HA1E_96H:TRCN0000040081:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
151	KDA001_HA1E_96H:TRCN0000040212:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
152	KDA001_HT29_96H:TRCN0000000777:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
153	KDA001_HT29_96H:TRCN0000004823:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
154	KDA001_HT29_96H:TRCN0000005996:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
155	KDA001_HT29_96H:TRCN0000006037:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
