	ATF2	ATF6	CREB1	ELK1	ESR1	ESR2	FOS	HIF1A	JUN	LEF1	MYC	NFATC2	NFE2L2	NR3C1	RXRA	SMAD3	SMAD4	SP1	STAT1	STAT2	STAT3	STAT4	STAT5A	STAT5B	STAT6	TCF7L2	TP53
KDA003_VCAP_120H:TRCN0000058846:-666	0.674461951239485	0.257057450465019	0.490508449988363	0.681157522682015	0.67479086385164	0.487511323358624	0.880968401405453	0.384349762014741	0.973619590157126	0.264457248870046	0.0141842907229894	0.626299768493231	0.213271373102267	0.525532217671147	0.47694978790654	0.917655307600519	0.483483270755351	0.489252206494383	0.884190714692582	0.292990792211434	0.848733795390588	0.801176960137836	0.612580557306359	0.739572849096369	0.613259135851777	0.367815633986763	0.839943101073113
KDA003_A549_96H:TRCN0000039601:-666	0.333726680883906	0.642703579576667	0.0483217975823843	0.466172443331532	0.443945626263448	0.723464473174177	0.406610369576598	0.683912982719932	0.183640536048948	0.818043502674547	0.946183346981196	0.698206050518859	0.509624903429257	0.376614495035142	0.267035345338913	0.736296952466638	0.865373373315056	0.378859854326473	0.239465075417551	0.207803663711822	0.322939224217746	0.113669218343001	0.287975535203336	0.339646578949472	0.179839375257355	0.625357773377136	0.183747171181661
KDA009_A549_96H:TRCN0000197144:-666	0.276439024541741	0.6915822651879	0.0480026517746517	0.432383655807609	0.573571605967542	0.803232937592305	0.825664392020101	0.777898429674603	0.390949587509872	0.332382059028545	0.427510722952681	0.563420922204233	0.694562482650625	0.302544923201666	0.139829114340111	0.569916409510719	0.743761524526908	0.253371919049539	0.511507851197437	0.113851646861354	0.288289706484216	0.5450698294389	0.509406668032277	0.432741620859056	0.654372023154778	0.375832395596712	0.923442158099579
KDA003_HA1E_96H:TRCN0000064515:-666	0.782976122859723	0.305307465016093	0.112248468415266	0.65885599957744	0.312504119182503	0.263388940340754	0.59683957034819	0.908093644039596	0.650573892164735	0.787842029964139	0.964325531639507	0.666450065718304	0.642355831863451	0.274742096270971	0.134666633842824	0.611967646837546	0.628811238205791	0.31516125901869	0.969946823802693	0.999983571435556	0.7274361586968	0.531465068037291	0.880092544671157	0.804603321137084	0.537885021725369	0.810375255797618	0.223113237529514
KDA003_MCF7_144H:TRCN0000003122:-666	0.8976315946408	0.200570191182205	0.797776533615124	0.342539005322783	0.478668926403532	0.73468623093579	0.891305972763846	0.670743518814209	0.822561718898874	0.404723547981546	0.450370736026393	0.173424545349363	0.765654447593489	0.430934417427266	0.654149613571561	0.722096151476527	0.801172361400853	0.788756646007729	0.954270938203396	0.958562422851612	0.758697495369284	0.346014596033665	0.736269381542689	0.393709422337178	0.657723322306849	0.477289736819299	0.158439628467778
KDA006_HT29_96H:TRCN0000003562:-666	0.442163989622362	0.614670836601207	0.642331743507999	0.151370125371637	0.792450139376439	0.678193757622253	0.889588080199068	0.538379245849714	0.640386988530059	0.44416627600569	0.165186759233401	0.607034077178415	0.500498625617069	0.348788596122959	0.763339142006442	0.530413954733876	0.313295619040861	0.638082349116539	0.65186886078443	0.970066887823548	0.388037854088749	0.504210442158713	0.940429782352508	0.9019010318245	0.490389252500745	0.407932707829993	0.358155151616744
KDA010_HT29_96H:TRCN0000000365:-666	0.372621430647128	0.134640059907753	0.494014548697569	0.712142698507961	0.245168192568496	0.160269360389197	0.0950626417320053	0.544287346921136	0.568590027374351	0.729033835550303	0.891329244125089	0.119586609120887	0.442106548929125	0.77296292550849	0.586976397172764	0.589093802546049	0.39521627942662	0.2756475163434	0.497477852462273	0.746345166469342	0.421970798462999	0.335133064039469	0.854277906472264	0.894079571582421	0.223638419143809	0.94997157135495	0.347015779740972
KDA007_HT29_96H:TRCN0000047480:-666	0.529611110190838	0.0696056212945379	0.796117777853593	0.897218477944419	0.455382065363068	0.591998382902888	0.7240739272655	0.178889481680603	0.341623299556804	0.398242190063163	0.273830120059179	0.703155533178511	0.121531328137848	0.696576004854635	0.542199718628819	0.791957649020566	0.484489794101949	0.877442241177101	0.769920958279419	0.923331981716807	0.509444502771236	0.257482936178152	0.151294392474506	0.35780485529183	0.512328418405339	0.234230758400295	0.874088939148153
KDA001_HA1E_96H:TRCN0000003753:-666	0.613149997936311	0.262145323522754	0.646425041819038	0.60419626066252	0.888061339904745	0.70317016206145	0.538136713727738	0.408609539818145	0.949069597076629	0.470909562285356	0.296355867246561	0.662392179703527	0.553151334513841	0.336584343633824	0.638472355518102	0.378545429295701	0.627338750735248	0.282382521165722	0.938500441232915	0.971479388995831	0.817669277983434	0.8298479091802	0.905260043992178	0.84661426485268	0.482626523303805	0.791657285687129	0.415274164805445
KDA006_HT29_96H:TRCN0000287021:-666	0.183001100791599	0.70583860176146	0.184597637428269	0.123267434644631	0.5067917207778	0.185542632709427	0.0644023931783703	0.494829685641558	0.172960633253513	0.793860887942888	0.950044211860928	0.489421527502157	0.527250963340851	0.408347480898526	0.765778670476014	0.169423916943828	0.59899349234029	0.518056656956039	0.0991058141133399	0.867635048190368	0.658324929704327	0.676302913606543	0.843893319235265	0.878727728949107	0.184079875902495	0.927308120355122	0.559625809226834
KDA009_VCAP_120H:TRCN0000272684:-666	0.654559770871657	0.745790509052695	0.457829074752721	0.836264314644431	0.225072890960328	0.51820184327296	0.20578846942131	0.960550064617834	0.29841028750391	0.620347620116078	0.996190354120728	0.38006695942547	0.865463033472887	0.356682747337105	0.309981017560727	0.460583447184293	0.642407115821598	0.578856607789904	0.455263116925167	0.828961252646391	0.724164625927863	0.246558813421742	0.693256589631017	0.533345227529859	0.605544673008135	0.811329735453259	0.135376982872117
KDA006_HT29_96H:TRCN0000004868:-666	0.256090271711818	0.562169348628425	0.654831228262837	0.476942708454891	0.904964622103842	0.278814908563609	0.631578445366882	0.617181638483714	0.608696463576864	0.519428455229699	0.492276339438111	0.781006981053479	0.651711787725849	0.289823469042797	0.670843923771792	0.480140103126344	0.771055428002197	0.475355457871245	0.732703417071045	0.178054196585701	0.409003828622228	0.949110685908042	0.741040838936444	0.683401902510476	0.626878771778786	0.765048546296458	0.292439621751481
KDA006_HT29_96H:TRCN0000009877:-666	0.489388134415652	0.215212238033485	0.456787897365537	0.232501305347798	0.691255067433015	0.894585843182082	0.927072893468888	0.745000407858981	0.628618220013888	0.731281011617786	0.164289341483292	0.880474364353362	0.14110627843351	0.497000939654042	0.657707038336629	0.448063163634284	0.28652782618622	0.831607593659705	0.0484797080372638	0.197167851145225	0.132223128756869	0.627639005318975	0.353059471962875	0.461616530738015	0.385000585344439	0.44015233131025	0.244145799211639
KDA003_VCAP_120H:TRCN0000010424:-666	0.327717020014613	0.883576281421687	0.118907482460952	0.781278168861973	0.317823629800003	0.397270716035057	0.876955820670705	0.840881253641994	0.529680092669851	0.614884900132467	0.613991931250181	0.499956325364778	0.697422744692437	0.702300576504043	0.180541638454861	0.680969682218017	0.947978944580503	0.420597284825829	0.613138012268154	0.733151736487425	0.566888039054173	0.686486612277075	0.528112379427709	0.47432285864495	0.63629217834636	0.419499415745103	0.664908046416078
KDA005_HT29_96H:TRCN0000073720:-666	0.392836512827378	0.565576262412204	0.253296397743071	0.710124404359321	0.762089886993139	0.749928784674167	0.808878795683378	0.632207193095373	0.784058559432312	0.77051928459604	0.342845820651812	0.356533370396175	0.883365214188533	0.0498347618314375	0.466822170983119	0.812201098224267	0.787603115285551	0.652380357698599	0.964278541245765	0.894643580849021	0.575388478499402	0.347988204575901	0.72454160916114	0.820810446216029	0.389494915295454	0.674477167764661	0.852974972257377
KDA006_A375_96H:TRCN0000320549:-666	0.464026131895848	0.704677802650073	0.32235641542647	0.454468082143715	0.710900378720076	0.380936385603511	0.532187539148855	0.987470505967196	0.834008395673322	0.768857624724496	0.79737773605491	0.690692325378943	0.460610370448545	0.179318981912308	0.613178072179315	0.630433336227424	0.845332043708817	0.860423391340322	0.094542086135166	0.207683692349851	0.296430796316347	0.328003767302431	0.328072983122143	0.30553207354899	0.345062775803495	0.714208742805065	0.513404011273513
